Time(ms),Main(mA),Main Voltage(V),
0.03271889686584473,401.0571848788997,3.8857500000000003,
0.03289604187011719,401.42521728885833,3.88375,
0.03307700157165527,411.9754797076719,3.88375,
0.033255815505981445,398.1129255992308,3.88475,
0.033476829528808594,400.8118299389273,3.882,
0.033715009689331055,424.36590417627855,3.88425,
0.03389787673950195,403.63341174861,3.8835,
0.03411293029785156,392.837794389824,3.886,
0.03429293632507324,391.9790520999206,3.88375,
0.03451395034790039,392.224407039893,3.884,
0.03469681739807129,387.439985710431,3.8855,
0.03492307662963867,385.1091137806931,3.884,
0.03513693809509277,383.14627426091386,3.88725,
0.03532910346984863,381.428789681107,3.88825,
0.03551197052001953,383.39162920088626,3.88475,
0.035695791244506836,401.3025398188721,3.88425,
0.035874128341674805,419.70416031680276,3.88275,
0.03611898422241211,418.23203067696835,3.8857500000000003,
0.036325931549072266,407.4364133181823,3.88275,
0.036531925201416016,412.7115445275891,3.8835,
0.036711931228637695,402.16128210877554,3.88425,
0.03688693046569824,402.28395957876177,3.88275,
0.037103891372680664,407.4364133181823,3.8857500000000003,
0.03726792335510254,409.8899627179064,3.88525,
0.03747987747192383,402.40663704874794,3.892,
0.037687063217163086,344.38019374527323,3.888,
0.03789687156677246,395.5366987295205,3.8835,
0.038101911544799805,423.87519429633375,3.88475,
0.03826498985290527,439.4552329845817,3.88425,
0.038475990295410156,439.5779104545679,3.8815,
0.03868293762207031,444.48500925401606,3.8815,
0.0388948917388916,440.80468515442993,3.8805,
0.03910088539123535,459.45166059233304,3.8810000000000002,
0.03926396369934082,418.23203067696835,3.8850000000000002,
0.039479970932006836,404.86018644847206,3.8857500000000003,
0.039688825607299805,401.42521728885833,3.88475,
0.03989601135253906,401.0571848788997,3.882,
0.040100812911987305,398.235603069217,3.8850000000000002,
0.04135608673095703,399.95308764902387,3.88325,
0.04157686233520508,400.8118299389273,3.88625,
0.04157686233520508,400.8118299389273,3.88725,
0.04157686233520508,402.40663704874794,3.8865000000000003,
0.04186892509460449,401.5478947588445,3.88425,
0.04186892509460449,407.92712319812716,3.88775,
0.04186892509460449,407.1910583782099,3.87575,
0.04215288162231445,429.51835791569914,3.88275,
0.04215288162231445,418.72274055691315,3.88475,
0.04215288162231445,422.6484195964717,3.88475,
0.04232287406921387,440.80468515442993,3.8875,
0.042491912841796875,419.9495152567752,3.8895,
0.04268598556518555,411.6074472977133,3.8855,
0.04289698600769043,428.4142606858233,3.8810000000000002,
0.04310488700866699,456.5074013126641,3.88225,
0.043312788009643555,457.61149854253995,3.8815,
0.043478965759277344,436.3882962349266,3.88125,
0.04368472099304199,431.7265523754508,3.8817500000000003,
0.043894052505493164,434.42545671514733,3.8825000000000003,
0.04410195350646973,435.8975863549818,3.8850000000000002,
0.04430794715881348,404.00144415856863,3.88325,
0.04447579383850098,402.65199198872034,3.88325,
0.04468202590942383,416.63722356714766,3.88475,
0.04489398002624512,401.3025398188721,3.8857500000000003,
0.04510092735290527,383.14627426091386,3.8890000000000002,
0.04526495933532715,378.6072078714243,3.88375,
0.04547691345214844,378.97524028138287,3.88625,
0.045683860778808594,376.7670458216312,3.8850000000000002,
0.045851945877075195,384.2503714907897,3.887,
0.04610085487365723,382.90091932094145,3.8897500000000003,
0.04632401466369629,391.36566474998955,3.8857500000000003,
0.046501874923706055,395.0459888495757,3.8865000000000003,
0.04671001434326172,397.7448931892722,3.88625,
0.04687380790710449,398.3582805392032,3.8855,
0.04708099365234375,399.33970029909284,3.886,
0.0472869873046875,398.9716678891342,3.8857500000000003,
0.04749798774719238,420.3175476667338,3.8865000000000003,
0.04770517349243164,432.70797213534047,3.8855,
0.047865867614746094,419.0907729668718,3.886,
0.04807090759277344,397.00882836935494,3.88675,
0.04827690124511719,397.3768607793136,3.88475,
